0,Suburb,id
,,0.0
Abbotsford,,
Aberfeldie,,
Airport West,,
Albert Park,,
Alfredton,,
Altona,,
Altona Meadows,,
Altona North,,
Ararat,,
Armadale,,
Armstrong Creek,,
Ascot,,
Ascot Vale,,
Aspendale,,
Bacchus Marsh,,
Badger Creek,,
Bairnsdale,,
Ballan,,
Ballarat Central,,
Ballarat East,,
Ballarat North,,
Balnarring,,
Balwyn North,,
Barwon Heads,,
Bayswater,,
Bayswater North,,
Beaconsfield,,
Belgrave,,
Bell Park,,
Bell Post Hill,,
Bellfield,,
Belmont,,
Bendigo,,
Bentleigh,,
Bentleigh East,,
Berwick,,
Beveridge,,
Bittern,,
Black Hill,,
Blairgowrie,,
Bonbeach,,
Boronia,,
Botanic Ridge,,
Braybrook,,
Bridgewater On Loddon,,
Brighton,,
Brighton East,,
Broadmeadows,,
Brookfield,,
Brooklyn,,
Broomfield,,
Brown Hill,,
Brunswick,,
Brunswick East,,
Brunswick West,,
Bruthen,,
Bulleen,,
Bundoora,,
Camberwell,,
Campbells Creek,,
Canadian,,
Cape Paterson,,
Capel Sound,,
Carnegie,,
Caroline Springs,,
Carrum Downs,,
Charlemont,,
Chelsea,,
Cheltenham,,
Chewton,,
Chiltern,,
Chirnside Park,,
Churchill,,
Clayton,,
Clayton South,,
Clifton Hill,,
Clifton Springs,,
Clunes,,
Clyde,,
Clyde North,,
Cobram,,
Coburg,,
Cockatoo,,
Collingwood,,
Connewarre,,
Corinella,,
Corio,,
Coronet Bay,,
Corryong,,
Cowes,,
Craigieburn,,
Cranbourne,,
Cranbourne East,,
Cranbourne North,,
Cranbourne West,,
Creswick,,
Crib Point,,
Croydon,,
Croydon Hills,,
Croydon North,,
Croydon South,,
Dallas,,
Dandenong,,
Dandenong North,,
Darley,,
Darraweit Guim,,
Deer Park,,
Delahey,,
Dereel,,
Derrimut,,
Diamond Creek,,
Dinner Plain,,
Docklands,,
Donald,,
Doncaster,,
Doncaster East,,
Donnybrook,,
Donvale,,
Doreen,,
Dromana,,
Drouin,,
Dry Diggings,,
Eaglehawk,,
East Bendigo,,
East Geelong,,
East Melbourne,,
Echuca,,
Echuca Village,,
Eden Park,,
Elaine,,
Elliminyt,,
Elphinstone,,
Eltham,,
Elwood,,
Endeavour Hills,,
Epping,,
Epsom,,
Fawkner,,
Ferntree Gully,,
Ferny Creek,,
Fingal,,
Fitzroy,,
Footscray,,
Frankston,,
Frankston North,,
Geelong,,
Geelong West,,
Gembrook,,
Gisborne,,
Gladstone Park,,
Glen Iris,,
Glen Waverley,,
Glenmaggie,,
Glenroy,,
Gordon,,
Goroke,,
Greensborough,,
Greenvale,,
Hadfield,,
Hallam,,
Hamilton,,
Hamlyn Heights,,
Hampton,,
Hampton Park,,
Hansonville,,
Harkaway,,
Hastings,,
Hawthorn,,
Hawthorn East,,
Healesville,,
Heidelberg Heights,,
Heidelberg West,,
Hepburn Springs,,
Herne Hill,,
Highett,,
Highton,,
Hillside,,
Hoppers Crossing,,
Horsham,,
Indented Head,,
Inverloch,,
Invermay Park,,
Irymple,,
Ivanhoe,,
Kalkallo,,
Kangaroo Flat,,
Kangaroo Ground,,
Katunga,,
Kealba,,
Keilor,,
Kennington,,
Kerang,,
Keysborough,,
Kialla,,
Kilmore,,
Kilsyth,,
Kingsville,,
Korumburra,,
Kyabram,,
Lake Gardens,,
Lake Tyers Beach,,
Lalor,,
Lancefield,,
Langwarrin,,
Lara,,
Laverton,,
Leongatha,,
Leongatha South,,
Leopold,,
Lilydale,,
Loch Sport,,
Long Gully,,
Longwarry,,
Lorne,,
Lucas,,
Lynbrook,,
Macedon,,
Maddingley,,
Maffra,,
Maiden Gully,,
Maidstone,,
Maldon,,
Malvern East,,
Manor Lakes,,
Maribyrnong,,
Marshall,,
Maryborough,,
McKinnon,,
Melbourne,,
Melton South,,
Melton West,,
Mentone,,
Mernda,,
Mickleham,,
Mildura,,
Mill Park,,
Mirboo North,,
Mitcham,,
Mitchell Park,,
Monbulk,,
Mont Albert North,,
Montmorency,,
Montrose,,
Moorabbin,,
Mooroolbark,,
Mordialloc,,
Mornington,,
Morwell,,
Mount Clear,,
Mount Duneed,,
Mount Eliza,,
Mount Evelyn,,
Mount Helen,,
Mount Martha,,
Mount Pleasant,,
Mount Waverley,,
Mulgrave,,
Narre Warren,,
Narre Warren North,,
Narre Warren South,,
Newborough,,
Newcomb,,
Newham,,
Newport,,
Newtown,,
Noble Park,,
Noble Park North,,
Norlane,,
North Bendigo,,
North Geelong,,
North Warrandyte,,
Northcote,,
Numurkah,,
Nunawading,,
Oak Park,,
Oakleigh East,,
Oakleigh South,,
Ocean Grove,,
Officer,,
Olinda,,
Pakenham,,
Pakenham Upper,,
Parkdale,,
Pascoe Vale,,
Peechelba,,
Point Cook,,
Point Lonsdale,,
Portarlington,,
Portland,,
Preston,,
Redan,,
Reservoir,,
Richmond,,
Riddells Creek,,
Ringwood,,
Ringwood East,,
Ringwood North,,
Ripponlea,,
Romsey,,
Rosebud,,
Ross Creek,,
Rowville,,
Roxburgh Park,,
Rushworth,,
Rutherglen,,
Safety Beach,,
Sale,,
Sandhurst,,
Seaford,,
Sebastopol,,
Seddon,,
Shepparton,,
Shepparton North,,
Smythes Creek,,
Smythesdale,,
Soldiers Hill,,
Somerville,,
South Morang,,
South Yarra,,
Southbank,,
Springvale,,
St Albans,,
St Albans Park,,
St Arnaud,,
St Kilda,,
St Kilda East,,
St Kilda West,,
St Leonards,,
Stanley,,
Strathfieldsaye,,
Strathtulloh,,
Sunbury,,
Sunshine West,,
Sutton Grange,,
Tarneit,,
Taylors Hill,,
Taylors Lakes,,
Templestowe,,
Templestowe Lower,,
The Basin,,
Thomastown,,
Thomson,,
Thornbury,,
Toongabbie,,
Toorak,,
Torquay,,
Trafalgar,,
Traralgon,,
Traralgon East,,
Trentham,,
Truganina,,
Venus Bay,,
Vermont,,
Wallan,,
Wangaratta,,
Wantirna,,
Wantirna South,,
Warragul,,
Warrandyte,,
Warranwood,,
Warrenheip,,
Warrnambool,,
Watsonia,,
Waurn Ponds,,
Wendouree,,
Werribee,,
West Footscray,,
West Wodonga,,
White Hills,,
Whittington,,
Wickliffe,,
Williamstown,,
Winchelsea,,
Wodonga,,
Wollert,,
Wonthaggi,,
Wurruk,,
